SNR_Eb=0.0 pb=0.172928018354
SNR_Eb=0.5 pb=0.14985014985
SNR_Eb=1.0 pb=0.138361638362
SNR_Eb=1.5 pb=0.109481915934
SNR_Eb=2.0 pb=0.0934647681636
SNR_Eb=2.5 pb=0.0583941605839
SNR_Eb=3.0 pb=0.0459023734886
SNR_Eb=3.5 pb=0.0351479915433
SNR_Eb=4.0 pb=0.023279288373
SNR_Eb=4.5 pb=0.0153105265549
SNR_Eb=5.0 pb=0.00856174564481
SNR_Eb=5.5 pb=0.0050061829351
